# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
920, -52000, 0, 15000, 8000, 0, 0, 4800, 0
921, -52000, 0, 4000, 8000, 4. 0, 4800, 0
922, -39000, 0, 15000, 8000, 0, 0, 4800, 0
923, -40000, 0, 4000, 8000, 4. 0, 4800, 0
924, 354000, 0, 15000, 8000, 0, 0, 4800, 0
925, 0, 12500, 8000, 8000, 0, 0, 4800, 0
926, -25000, 0, 4000, 8000, 4. 0, 4800, 0
927, -33000, 0, 15000, 8000, 0, 0, 4800, 0
928, -40000, 0, 4000, 8000, 4. 0, 4800, 0
929, -46000, 0, 15000, 8000, 0, 0, 4800, 0
930, -27000, 0, 4000, 8000, 4. 0, 4800, 0
931, -52000, 0, 15000, 8000, 0, 0, 4800, 0
932, -52000, 0, 4000, 8000, 4. 0, 4800, 0
933, -39000, 0, 15000, 8000, 0, 0, 4800, 0
934, -40000, 0, 4000, 8000, 4. 0, 4800, 0
935, 354000, 0, 15000, 8000, 0, 0, 4800, 0
936, 0, 12500, 8000, 8000, 0, 0, 4800, 0
937, -25000, 0, 4000, 8000, 4. 0, 4800, 0
938, -33000, 0, 15000, 8000, 0, 0, 4800, 0
939, -40000, 0, 4000, 8000, 4. 0, 4800, 0
940, -46000, 0, 15000, 8000, 0, 0, 4800, 0
941, -27000, 0, 4000, 8000, 4. 0, 4800, 0
942, -52000, 0, 15000, 8000, 0, 0, 4800, 0
943, -52000, 0, 4000, 8000, 4. 0, 4800, 0
944, -39000, 0, 15000, 8000, 0, 0, 4800, 0
945, -40000, 0, 4000, 8000, 4. 0, 4800, 0
946, 354000, 0, 15000, 8000, 0, 0, 4800, 0
947, 0, 12500, 8000, 8000, 0, 0, 4800, 0
948, -25000, 0, 4000, 8000, 4. 0, 4800, 0
949, -33000, 0, 15000, 8000, 0, 0, 4800, 0
950, -40000, 0, 4000, 8000, 4. 0, 4800, 0
951, -46000, 0, 15000, 8000, 0, 0, 4800, 0
952, -27000, 0, 4000, 8000, 4. 0, 4800, 0
953, -52000, 0, 15000, 8000, 0, 0, 4800, 0
954, -52000, 0, 4000, 8000, 4. 0, 4800, 0
955, -39000, 0, 15000, 8000, 0, 0, 4800, 0
956, -40000, 0, 4000, 8000, 4. 0, 4800, 0
957, 354000, 0, 15000, 8000, 0, 0, 4800, 0
958, 0, 25000, 8000, 8000, 0, 0, 4000, 0
959, -25000, 0, 4000, 8000, 4. 0, 4000, 0
960, -33000, 0, 15000, 8000, 0, 0, 4000, 0
961, -40000, 0, 4000, 8000, 4. 0, 4000, 0
962, -46000, 0, 15000, 8000, 0, 0, 4000, 0
963, -27000, 0, 4000, 8000, 4. 0, 4000, 0
964, -52000, 0, 15000, 8000, 0, 0, 4000, 0
965, -52000, 0, 4000, 8000, 4. 0, 4000, 0
966, -39000, 0, 15000, 8000, 0, 0, 4000, 0
967, -40000, 0, 4000, 8000, 4. 0, 4000, 0
968, 354000, 0, 15000, 8000, 0, 0, 4000, 0
969, 0, 25000, 8000, 8000, 0, 0, 4000, 0
970, -25000, 0, 4000, 8000, 4. 0, 4000, 0
971, -33000, 0, 15000, 8000, 0, 0, 4000, 0
972, -40000, 0, 4000, 8000, 4. 0, 4000, 0
973, -46000, 0, 15000, 8000, 0, 0, 4000, 0
974, -27000, 0, 4000, 8000, 4. 0, 4000, 0
975, -52000, 0, 15000, 8000, 0, 0, 4000, 0
976, -52000, 0, 4000, 8000, 4. 0, 4000, 0
977, -39000, 0, 15000, 8000, 0, 0, 4000, 0
978, -40000, 0, 4000, 8000, 4. 0, 4000, 0
979, 354000, 0, 15000, 8000, 0, 0, 4000, 0
980, 0, 25000, 8000, 8000, 0, 0, 3800, 0
981, -25000, 0, 4000, 8000, 4. 0, 3800, 0
982, -33000, 0, 15000, 8000, 0, 0, 3800, 0
983, -40000, 0, 4000, 8000, 4. 0, 3800, 0
984, -46000, 0, 15000, 8000, 0, 0, 3800, 0
985, -27000, 0, 4000, 8000, 4. 0, 3800, 0
986, -52000, 0, 15000, 8000, 0, 0, 3800, 0
987, -52000, 0, 4000, 8000, 4. 0, 3800, 0
988, -39000, 0, 15000, 8000, 0, 0, 3800, 0
989, -40000, 0, 4000, 8000, 4. 0, 3800, 0
990, 354000, 0, 15000, 8000, 0, 0, 3800, 0
991, 0, 25000, 8000, 8000, 0, 0, 3800, 0
992, -25000, 0, 4000, 8000, 4. 0, 3800, 0
993, -33000, 0, 15000, 8000, 0, 0, 3800, 0
994, -40000, 0, 4000, 8000, 4. 0, 3800, 0
995, -46000, 0, 15000, 8000, 0, 0, 3800, 0
996, -27000, 0, 4000, 8000, 4. 0, 3800, 0
997, -52000, 0, 15000, 8000, 0, 0, 3800, 0
998, -52000, 0, 4000, 8000, 4. 0, 3800, 0
999, -39000, 0, 15000, 8000, 0, 0, 3800, 0
1000, -40000, 0, 4000, 8000, 4. 0, 3800, 0
1001, 354000, 0, 15000, 8000, 0, 0, 3800, 0
1002, 0, 25000, 8000, 8000, 0, 0, 3400, 0
1003, -25000, 0, 4000, 8000, 4. 0, 3400, 0
1004, -33000, 0, 15000, 8000, 0, 0, 3400, 0
1005, -40000, 0, 4000, 8000, 4. 0, 3400, 0
1006, -46000, 0, 15000, 8000, 0, 0, 3400, 0
1007, -27000, 0, 4000, 8000, 4. 0, 3400, 0
1008, -52000, 0, 15000, 8000, 0, 0, 3400, 0
1009, -52000, 0, 4000, 8000, 4. 0, 3400, 0
1010, -39000, 0, 15000, 8000, 0, 0, 3400, 0
1011, -40000, 0, 4000, 8000, 4. 0, 3400, 0
1012, 354000, 0, 15000, 8000, 0, 0, 3400, 0
1013, 0, 25000, 8000, 8000, 0, 0, 3400, 0
1014, -25000, 0, 4000, 8000, 4. 0, 3400, 0
1015, -33000, 0, 15000, 8000, 0, 0, 3400, 0
1016, -40000, 0, 4000, 8000, 4. 0, 3400, 0
1017, -46000, 0, 15000, 8000, 0, 0, 3400, 0
1018, -27000, 0, 4000, 8000, 4. 0, 3400, 0
1019, -52000, 0, 15000, 8000, 0, 0, 3400, 0
1020, -52000, 0, 4000, 8000, 4. 0, 3400, 0
1021, -39000, 0, 15000, 8000, 0, 0, 3400, 0
1022, -40000, 0, 4000, 8000, 4. 0, 3400, 0
1023, 354000, 0, 15000, 8000, 0, 0, 3400, 0
