# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
178, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
179, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
180, -33000, 0, 15000, 8000, 0, 0, 4000, 0
181, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
182, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
183, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
184, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
185, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
186, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
187, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
188, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
189, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
190, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
191, -46000, 0, 15000, 8000, 0, 0, 4000, 0
192, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
193, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
194, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
195, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
196, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
197, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
198, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
199, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
200, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
201, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
202, -52000, 0, 15000, 8000, 0, 0, 4000, 0
203, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
204, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
205, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
206, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
207, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
208, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
209, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
210, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
211, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
212, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
213, -39000, 0, 15000, 8000, 0, 0, 4000, 0
214, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
215, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
216, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
217, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
218, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
219, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
220, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
221, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
222, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
223, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
224, 354000, 0, 15000, 8000, 0, 0, 4000, 0
225, 0, 25000, 8000, 8000, 0, 0, 4000, 0
226, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
227, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
228, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
229, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
230, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
231, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
232, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
233, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
234, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
235, -2500, 0, 8000, 8000, -2.5, 5, 4000, 0
236, -33000, 0, 15000, 8000, 0, 0, 4000, 0
237, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
238, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
239, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
240, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
241, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
242, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
243, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
244, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
245, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
246, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
247, -46000, 0, 15000, 8000, 0, 0, 4000, 0
248, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
249, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
250, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
251, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
252, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
253, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
254, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
255, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
256, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
